Nom de la variable;Type;Libellé du codage;Libellé de la variable
achapub;Numérique;pub;Demande à acheter des produits pour lesquels il a vu une publicité
achpub1;Numérique;achpub;A acheté Aliment 1 - Publicité
achpub2;Numérique;achpub;A acheté Aliment 2 - Publicité
achpub3;Numérique;achpub;A acheté Aliment 3 - Publicité
achpub4;Numérique;achpub;A acheté Aliment 4 - Publicité
achpub5;Numérique;achpub;A acheté Aliment 5 - Publicité
achpub6;Numérique;achpub;A acheté Aliment 6 - Publicité
acolach;Numérique;onsp;Les aliments du matin sont achetés en venant à l'école
acolachecol;Numérique;onsp;Les aliments du matin sont achetés à l'école
acolecol;Numérique;onsp;Les aliments du matin sont fournis gratuitement par l'école
acolenfs;Numérique;onsp;Les aliments du matin sont amenés par tous les enfants de la classe
acolmais;Numérique;onsp;Les aliments du matin sont amenés avec toi le matin
acolmat1;Texte;;Aliment 1 le + consommé entre PDJ et DEJ
acolmat1_cod;Numérique;;Aliment 1 le + consommé entre PDJ et DEJ - code INCA
acolmat1_gr;Numérique;groupe;Aliment 1 le + consommé entre PDJ et DEJ - groupe INCA
acolmat2;Texte;;Aliment 2 le + consommé entre PDJ et DEJ
acolmat2_cod;Numérique;;Aliment 2 le + consommé entre PDJ et DEJ - code INCA
acolmat2_gr;Numérique;groupe;Aliment 2 le + consommé entre PDJ et DEJ - groupe INCA
acolmat3;Texte;;Aliment 3 le + consommé entre PDJ et DEJ
acolmat3_cod;Numérique;;Aliment 3 le + consommé entre PDJ et DEJ - code INCA
acolmat3_gr;Numérique;groupe;Aliment 3 le + consommé entre PDJ et DEJ - groupe INCA
acolmat4;Texte;;Aliment 4 le + consommé entre PDJ et DEJ
acolmat4_cod;Numérique;;Aliment 4 le + consommé entre PDJ et DEJ - code INCA
acolmat4_gr;Numérique;groupe;Aliment 4 le + consommé entre PDJ et DEJ - groupe INCA
act_phy;Numérique;onsp;Représentant de l'enfant actif physiquement ?
age_chefq;Numérique;;Age du chef de ménage
age_cheft;Numérique;agechef;Classe d'âge du chef de ménage
agefumea;Numérique;;A quel âge a commencé à fumer régulièrement (ancien fumeur)
agefumeansp;Numérique;;NSP à quel âge a commencé à fumer régulièrement (ancien fumeur)
agefumem;Numérique;;A quel âge a commencé à fumer régulièrement (fumeur actuel)
agefumemnsp;Numérique;;NSP à quel âge a commencé à fumer régulièrement (fumeur actuel)
agepmax;Numérique;;Age auquel le poids maxi a été atteint
agepmaxnsp;Numérique;;NSP à quel âge le poids maxi a été atteint
agepmin;Numérique;;Age auquel le poids mini a été atteint
agepminnsp;Numérique;;NSP à quel âge le poids mini a atteint
agestop;Numérique;;A quel âge a arrêté de fumer définitivement (ancien fumeur)
agestopnsp;Numérique;;NSP à quel âge a arrêté de fumer définitivement (ancien fumeur)
agglo5;Numérique;a5gglo;Catégorie d'agglomération (5 modalités)
agglo9;Numérique;a9gglo;Catégorie d'agglomération (9 modalités)
agncuis;Numérique;cuiviand;Degré de cuisson agneau (gigot, épaule)
alimpub1;Texte;;Aliment 1 - Publicité
alimpub1_cod;Numérique;;Aliment 1 - Publicité - code INCA
alimpub1_gr;Numérique;groupe;Aliment 1 - Publicité - groupe INCA
alimpub2;Texte;;Aliment 2 - Publicité
alimpub2_cod;Numérique;;Aliment 2 - Publicité - code INCA
alimpub2_gr;Numérique;groupe;Aliment 2 - Publicité - groupe INCA
alimpub3;Texte;;Aliment 3 - Publicité
alimpub3_cod;Numérique;;Aliment 3 - Publicité - code INCA
alimpub3_gr;Numérique;groupe;Aliment 3 - Publicité - groupe INCA
alimpub4;Texte;;Aliment 4 - Publicité
alimpub4_cod;Numérique;;Aliment 4 - Publicité - code INCA
alimpub4_gr;Numérique;groupe;Aliment 4 - Publicité - groupe INCA
alimpub5;Texte;;Aliment 5 - Publicité
alimpub5_cod;Numérique;;Aliment 5 - Publicité - code INCA
alimpub5_gr;Numérique;groupe;Aliment 5 - Publicité - groupe INCA
alimpub6;Texte;;Aliment 6 - Publicité
alimpub6_cod;Numérique;;Aliment 6 - Publicité - code INCA
alimpub6_gr;Numérique;groupe;Aliment 6 - Publicité - groupe INCA
allaite;Numérique;onsp;Allaite actuellement un enfant ?
aptotal_hebdo;Numérique;;Activité physique TOTALE hebdo. (en mn)
aptotal_met;Numérique;;Intensité de l'activité physique TOTALE (en MET)
